ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Spirits,Grape and Fruit Brandy,Brandy,SOUTH AFRICA,5173,K.W.V. - PAARL FIVE STAR V.S.O.P.,748294141114,0.75,1,40,24.49,NA
Wine,Chile Wine,Chile Rose Wine,CHILE,8885,ROSE - ESTRELLA DE PASCUA,7804320752044,0.75,1,12.5,9.99,1
Wine,Portugal Wine,Portugal Rose Wine,PORTUGAL,23762,VINHO VERDE ROSE  - AVELEDA CASAL GARCIA,5601096328303,0.75,1,10.5,13.99,1
Wine,France Wine,France Red Wine,FRANCE,122955,POMEROL - CHATEAU L'EGLISE CLINET 2018,,0.75,1,13,700,NA
Wine,France Wine,France Champagne Wine,FRANCE,195818,POL ROGER - RESERVE BRUT,89744161505,0.375,1,12,51.99,0
Spirits,Whisky,Irish Whiskey,IRELAND,215740,TULLAMORE DEW XO RUM FINISH,83664873852,0.75,1,43,43.97,NA
Spirits,Whisky,Canadian Whisky,CANADA,225845,G AND W DISTILLING - WESTERN GRAINS CANADIAN WHISKY,628055589297,0.75,1,40,39.99,NA
Wine,France Wine,France Red Wine,FRANCE,300186,CHATEAU ANGELUS 2014,714153153413,0.75,1,14.5,480,NA
Wine,New Zealand Wine,New Zealand White Wine,NEW ZEALAND,493853,CHARDONNAY - MUDDY WATER 2018,9421009530519,0.75,1,14,39.99,NA
Wine,Canada - BC,Canada - BC Rose Wine,CANADA,618785,RIGAMAROLE - ROSE 2020,776545996046,0.75,1,13.5,15.99,1
Beer,Import Beer,Europe Beer,IRELAND,793810,KILKENNY IRISH CREAM ALE DRAUGHT TALL CAN,5000213019085,0.5,4,4.3,13.29,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,843334,CABERNET SAUVIGNON - MURRAY BANKS,,0.75,1,13,10.49,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,52217,HARPER'S TRAIL - FIELD BLEND RED,626990181804,0.75,1,12.2,24.99,0
Wine,France Wine,France Red Wine,FRANCE,123057,ST ESTEPHE - LA DAME DE MONTROSE 2018,,0.75,1,13,100,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,200717,SHIRAZ DURIF - 19 CRIMES VICTORIA,9311220002929,0.75,1,14,18.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,335794,CABERNET SAUVIGNON - HESS SELECT NORTHCOAST,717888510025,0.75,1,13.5,36.99,0
Wine,France Wine,France Red Wine,FRANCE,374447,CHATEAU MOUTON ROTHSCHILD PAUILLAC 2014,3388118591014,1.5,1,13,1800,NA
Spirits,Whisky,Canadian Whisky,CANADA,385928,SHELTER POINT DISTILLERY - EVANS FAMILY RESERVE WINE CASK,814464003374,0.75,1,46,85.99,NA
Spirits,Asian Spirits,China Spirits,CHINA,399865,1573  NATIONAL CELLAR -,6901798138910,0.5,1,52,257.99,NA
Wine,France Wine,France White Wine,FRANCE,411246,CHABLIS 1ER VOSGROS - GILBERT PICQ 2019,847060014222,1.5,1,12.5,153.99,0
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,411312,G AND W - NUTRL VODKA SODA LIME,62067421211,0.355,12,5,28.99,NA
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,437608,PERSEPHONE BREWING - PALE ALE,626990248590,0.355,6,5.5,14.79,NA
Refreshment Beverages,Cider,Domestic Cider,CANADA,441871,LONETREE - ORCHARD SAMPLER 15 FOR 12 CAN 2023,696852081078,0.355,15,5.5,24.49,NA
Wine,New Zealand Wine,New Zealand White Wine,NEW ZEALAND,494305,SAUVIGNON BLANC - MATAWHERO SINGLE VINEYARD 2021,9421901986261,0.75,1,12.9,25.97,NA
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,ITALY,510008,SAMBUCA DEI CESARI - LUXARDO,8000353001411,1.14,1,38,43.49,NA
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,CANADA,606269,STROH CANADA - RAINIER CAN,56910403257,0.355,15,5,22.79,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,78113,FORT BERENS -  MERITAGE 2020,626990121992,0.75,1,13.2,32.99,0
Spirits,Asian Spirits,Other Country Asian Spirits,JAPAN,107381,CHOYA - GOLD EDITION,4905846114637,0.5,1,19,205.99,NA
Wine,France Wine,France White Wine,FRANCE,126499,CHATEAU OLIVIER BLANC 2016,3760072793916,0.75,1,13,65,NA
Wine,Spain Wine,Spain Sparkling Wine,SPAIN,134687,VARIAS - CAVA GENUI BRUT NATURE,8414617265004,0.75,1,11.5,15.99,0
Wine,France Wine,France Red Wine,FRANCE,143001,MOULIS - CHATEAU MAUCAILLOU 2018,3760063165517,0.75,1,13,60,NA
Wine,USA Wine,USA Rose Wine,UNITED STATES OF AMERICA,177100,ROSE - BREAD AND BUTTER,818051021611,0.75,1,12.5,20.99,0
Wine,Other Country Wine,Other Country Fruit and Dessert Wine,KOREA - SOUTH,590737,SEOL JOONG MAE - PLUM LIQUEUR,626990010005,0.375,1,14,14.99,1
Spirits,Gin,Dry Gin,UNITED STATES OF AMERICA,756510,AVIATION - AMERICAN GIN BATCH DISTILLED,853507000024,0.75,1,42,44.99,NA
Wine,France Wine,France Rose Wine,FRANCE,818708,COTES DE PROVENCE - ROCK ANGEL,3760167973186,0.75,1,13,60.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,893453,CALLIOPE - CABERNET MERLOT FIGURE 8 2020,688229104206,0.75,1,14,20.99,0
Spirits,Whisky,Canadian Whisky,CANADA,6291,WAYNE GRETZKY - RED CASK WHISKY,627167099960,0.75,1,40,32.99,NA
Wine,Italy Wine,Prosecco Wine,ITALY,42215,PERLAGE - PROSECCO ROSE AFRA EXTRA DRY 2019,8017955000537,0.75,1,11,19.97,2
Wine,France Wine,France Red Wine,FRANCE,43649,BOURGUEIL - Y. AMIRAULT LE GRAND CLOS 2020,853389001201,0.75,1,13.5,45.99,0
Wine,USA Wine,USA White Wine,UNITED STATES OF AMERICA,111190,CHARDONNAY - FREEMARK ABBEY NAPA,15917029105,0.75,1,14.3,50.99,0
Spirits,Whisky,Canadian Whisky,CANADA,112672,WISER'S - SPECIAL BLEND,48415345286,1.75,1,40,52.99,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,148500,VANESSA VINEYARD - MERITAGE,626990396772,1.5,1,15.6,135.99,0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,288605,OLD YALE BREWING - SASQUATCH STOUT,626990038528,0.65,1,5,7.99,NA
Wine,France Wine,France Red Wine,FRANCE,390933,HAUT MEDOC - CHATEAU BELLEVUE 2019,3770001216102,0.75,1,14,50,NA
Wine,France Wine,France Red Wine,FRANCE,433811,IRANCY - SIMONNET FEBVRE PARADIS,3422511200637,0.75,1,14.3,64.99,0
Spirits,Rum,Amber Rum,DOMINICAN REPUBLIC,443203,BARCELO - IMPERIAL ONYX RUM,696852054331,0.75,1,40,77.99,NA
Spirits,Whisky,Irish Whiskey,IRELAND,498896,TWO STACKS - SMOKE AND MIRRORS PEATED STOUT CASK SINGLE MALT,5060560960256,0.7,1,48,104.99,NA
Wine,New Zealand Wine,New Zealand Red Wine,NEW ZEALAND,613299,PINOT NOIR BORTHWICK VINEYARD,9421005520149,0.75,1,14.1,38.97,0
Spirits,Tequila,Blanco/Silver Tequila,MEXICO,57661,CABO WABO - BLANCO,720815910737,0.75,1,40,69.99,NA
Wine,France Wine,France Red Wine,FRANCE,59202,CORTON BRESSANDES GRAND CRU - CHANDON DE BRIAILLES 2017,3760095960418,0.75,1,13,249.99,0
Wine,Italy Wine,Italy Red Wine,ITALY,63584,GRIGNOLINO DEL MONFERRATO CASALESE - ACCORNERO BRICCO DEL BO,8032542530082,0.75,1,14,28.99,0
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,66183,MICHTERS - US 1 SMALL BATCH BOURBON,39383007184,0.75,1,45.7,95.99,NA
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,102035,CATEGORY 12 BREWING - CHROMATIC IPA TALL CAN,632016228712,0.473,4,7,14.99,NA
Wine,France Wine,France White Wine,FRANCE,124834,LANGUEDOC PICPOUL DE PINET - ORMARINE,3186127768690,0.75,1,12.5,18.99,0
Wine,France Wine,France Red Wine,FRANCE,161070,CHATEAU CROIX DE LABRIE 2016,3770010269052,0.75,1,13,160,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,201384,JACKSON TRIGGS PROPRIETOR'S SELECTION SAUVIGNON BLANC,63657029626,4,1,12.5,43.99,0
Spirits,Vodka,Straight Vodka,LATVIA,295444,STOLI  - PREMIUM,4750021000102,1.75,1,40,60.99,NA
Wine,France Wine,France White Wine,FRANCE,677344,ANJOU CHENIN BLANC - CHATEAU DE LA ROULERIE 2019,3664374001222,0.75,1,13,32.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,14843,TOMATIN - 2006 CASK,5018481902947,0.7,1,55.8,176.99,NA
Wine,France Wine,France Red Wine,FRANCE,53593,MOULIS - CHATEAU CHASSE-SPLEEN 2018,3419466254334,0.75,1,13,85,NA
Wine,Spain Wine,Spain Red Wine,SPAIN,77149,YECLA MERLOT MONASTRELL - LUJURIA,8422443001178,0.75,1,13.5,13.99,0
Wine,France Wine,France Red Wine,FRANCE,95265,CHATEAU COS D'ESTOURNEL 2013,,0.75,1,13,249,0
Wine,France Wine,France Red Wine,FRANCE,123081,ST EMILION - CHATEAU PAVIE 2018,,0.75,1,13,1000,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,138663,MISSION HILL FAMILY ESTATE OCULUS 2014 3L,776545981547,3,1,14.5,975,0
Wine,France Wine,France Red Wine,FRANCE,207277,BOURGOGNE - DOMAINE DES BEAUMONT PINOT NOIR 2016,3760126210123,0.75,1,12.5,46.99,0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,CANADA,255255,LANDSHARK - PREMIUM LAGER,620707106852,0.473,6,4.6,13.29,NA
Wine,France Wine,France Red Wine,FRANCE,351781,PAUILLAC - CHATEAU LATOUR LES FORTS DE LATOUR 2015,3277038413080,0.75,1,13,550,0
Wine,Italy Wine,Italy Red Wine,ITALY,392514,TOSCANA - SETTE PONTI CROGNOLO 2019,8033011200925,0.75,1,13.5,42.99,0
Spirits,Grape and Fruit Brandy,Cognac,FRANCE,477794,MARTELL X.O.,80432401118,0.75,1,40,312.99,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,487457,NOSTALGIA - PINOT GRIS 2021,626990367512,0.75,1,13.5,21.99,0
Wine,France Wine,France Sparkling Wine,FRANCE,512635,LAURENT COGNARD - CREMANT DE BOURGOGNE BLANC DE NOIRS EXTRA,696852042598,0.75,1,13.4,35.99,0
Wine,South Africa Wine,South Africa Red Wine,SOUTH AFRICA,544668,CABERNET SAUVIGNON MERLOT - KWV THE VINECRAFTER,748294420752,0.75,1,14,13.99,0
Wine,Spain Wine,Spain Red Wine,SPAIN,31722,SIERRA DE GREDOS - TELMO RODRIGUEZ PEGASO PIZARRA,8436037408021,0.75,1,14.5,58.99,0
Wine,France Wine,France Red Wine,FRANCE,69969,MARGAUX - CHATEAU MARGAUX 2019,714153298091,0.75,1,13,1600,NA
Wine,France Wine,France Red Wine,FRANCE,90558,POMEROL - VIEUX CHATEAU CERTAN 2018,,0.75,1,13,675,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,98387,LITTLEMILL - 25 YEAR OLD SINGLE MALT SCOTCH WHISKY,5016840161356,0.75,1,50.4,7100,NA
Wine,Italy Wine,Italy Red Wine,ITALY,113592,MARCHE SANGIOVESE - UMANI RONCHI MEDORO,8032853720479,0.75,1,13,14.99,0
Wine,France Wine,France Red Wine,FRANCE,143382,PAUILLAC - CARRUADES DE LAFITE 2018,,0.75,1,13,550,NA
Wine,France Wine,France Red Wine,FRANCE,184543,ST EMILION - CHATEAU FAUGERES 2017,3609050852453,0.75,1,14,90,NA
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,228475,ARGENTINA RED - CORAL,7790314065064,1.5,1,13,12.97,1
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,396174,WILDEYE BREWING - 7TH SECRET FRENCH WHEAT CAN,696852070546,0.355,6,5,13.79,NA
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,474748,33 ACRES OF NIRVANA CAN,696852001250,0.355,6,7,15.29,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,790188,CABERNET SAUVIGNON - FLIP FLOP,81308001500,0.75,1,13.5,7.97,1
Spirits,Gin,Dry Gin,CANADA,826172,SHERINGHAM DISTILLERY - KAZUKI GIN,626990237082,0.75,1,43,47.99,NA
Spirits,Rum,White Rum,CANADA,596,BACARDI - SUPERIOR WHITE,620213015600,0.375,1,40,12.49,NA
Wine,Fortified Wine,Other Fortified Import Wine,FRANCE,106997,PINEAU DES CHARENTES - CHATEAU DE BEAULON 5 YEAR OLD,3304115060001,0.75,1,18,43.99,10
Wine,France Wine,France Red Wine,FRANCE,153458,MARGAUX - MARQUIS DE TERME 2017,3378281172004,0.75,1,13,110,NA
Wine,France Wine,France Red Wine,FRANCE,187039,CHATEAU PAVIE 2014,626990304982,0.75,1,13,525,0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,UNITED KINGDOM,188821,CRABBIE'S - ORIGINAL GINGER BEER,5011166019725,0.5,1,4,5.99,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,244693,BODACIOUS - DARK,63657037362,0.75,1,13,10.99,2
Wine,Canada - BC,Canada - BC White Wine,CANADA,247353,CHECKMATE  - FOOL'S MATE CHARDONNAY 2014,776545800626,1.5,1,14.3,239.99,0
Wine,France Wine,France Red Wine,FRANCE,390255,LATRICIERES CHAMBERTIN - DOMAINE FAIVELEY 2014,795898012371,0.75,1,14,369.99,0
Wine,Italy Wine,Italy Red Wine,ITALY,401883,BRUNELLO DI MONTALCINO RISERVA - BIONDI SANTI 2015,8054187511103,0.75,1,14,999,0
Wine,Sake,Japan Sake,JAPAN,469856,SHICHI HON YARI - SHIZUKU JUNMAI DAIGINJO,850176001833,0.5,1,17.1,75.99,0
Wine,France Wine,France White Wine,FRANCE,563007,CHATEAU HAUT BRION BLANC 2015,626990357995,0.75,1,13,1800,NA
Spirits,Asian Spirits,China Spirits,CHINA,806364,ER GUO TOU - BEIJING NIU LAN SHAN XINXIN,6906151600462,0.5,1,42,21.79,0
